,source,destination,airline,equipment,avg_capacity,visa,source_lat,source_lon,dest_lat,dest_lon
50,5,5430,328,100 737,162.0,0.0,-9.44338035583496,147.22000122070312,-2.06189,147.423996
51,5,5429,328,DH8,0.0,0.0,-9.44338035583496,147.22000122070312,-6.14774,143.656998
52,5,2397,328,738,189.0,0.0,-9.44338035583496,147.22000122070312,14.5086,121.019997
53,5,1960,328,737,215.0,0.0,-9.44338035583496,147.22000122070312,-17.755399703979492,177.4429931640625
54,5,2279,328,738,189.0,1.0,-9.44338035583496,147.22000122070312,35.7647018433,140.386001587
55,5,3316,328,763 738,270.0,0.0,-9.44338035583496,147.22000122070312,1.35019,103.994003
56,5,3361,4089,738,189.0,1.0,-9.44338035583496,147.22000122070312,-33.94609832763672,151.177001953125
57,5,5436,328,DH4,78.0,0.0,-9.44338035583496,147.22000122070312,-2.6926,141.3028
58,5,5437,328,DH8,0.0,0.0,-9.44338035583496,147.22000122070312,-5.6433000564575195,143.89500427246094
59,5,6,328,100 DH4,94.0,0.0,-9.44338035583496,147.22000122070312,-3.58383011818,143.669006348
60,6,3,328,100,109.0,0.0,-3.58383011818,143.669006348,-5.826789855957031,144.29600524902344
61,6,2,328,100 DH4,94.0,0.0,-3.58383011818,143.669006348,-5.20707988739,145.789001465
62,6,5,328,100 DH4,94.0,0.0,-3.58383011818,143.669006348,-9.44338035583496,147.22000122070312
63,6,5436,328,DH4,78.0,0.0,-3.58383011818,143.669006348,-2.6926,141.3028
64,7,8,921,DH8,0.0,,61.1604995728,-45.4259986877,64.19090271,-51.6781005859
65,7,5440,921,DH8,0.0,,61.1604995728,-45.4259986877,61.9921989441,-49.6624984741
66,7,5442,921,BH2,14.0,,61.1604995728,-45.4259986877,60.7156841553,-46.0299186409
67,7,5445,921,BH2,14.0,,61.1604995728,-45.4259986877,60.9172827256,-46.059923172
68,7,9,921,DH8,0.0,,61.1604995728,-45.4259986877,67.0122218992,-50.7116031647
69,8,3995,921,DH8,0.0,,64.19090271,-51.6781005859,69.2432022095,-51.0570983887
70,8,5440,921,DH8,0.0,,64.19090271,-51.6781005859,61.9921989441,-49.6624984741
71,8,5447,921,DH8,0.0,,64.19090271,-51.6781005859,66.9513015747,-53.7293014526
72,8,5443,921,DH7,50.0,,64.19090271,-51.6781005859,65.4124984741,-52.9393997192
73,8,16,921,DH8,0.0,,64.19090271,-51.6781005859,63.985000610352,-22.605600357056
74,8,9,921,DH8,0.0,,64.19090271,-51.6781005859,67.0122218992,-50.7116031647
75,8,7,921,DH8,0.0,,64.19090271,-51.6781005859,61.1604995728,-45.4259986877
76,8,18,896,DH8,0.0,,64.19090271,-51.6781005859,64.1299972534,-21.9405994415
77,9,609,921,332,406.0,,67.0122218992,-50.7116031647,55.617900848389,12.656000137329
78,9,8,921,DH8 DH7,25.0,,67.0122218992,-50.7116031647,64.19090271,-51.6781005859
79,9,3995,921,DH8,0.0,,67.0122218992,-50.7116031647,69.2432022095,-51.0570983887
80,9,3997,921,DH8,0.0,,67.0122218992,-50.7116031647,68.7218017578,-52.7846984863
81,9,5447,921,DH7 DH8,25.0,,67.0122218992,-50.7116031647,66.9513015747,-53.7293014526
