,name,city,country,region,iso,iata,icao,lat,lon
3457,Wichita Eisenhower National Airport,Wichita,United States,North America,USA,ICT,KICT,37.649899,-97.433098
3458,Kansas City International Airport,Kansas City,United States,North America,USA,MCI,KMCI,39.2976,-94.713898
3459,Dane County Regional Truax Field,Madison,United States,North America,USA,MSN,KMSN,43.13990020751953,-89.3375015258789
3460,Dillingham Airport,Dillingham,United States,North America,USA,DLG,PADL,59.04470062,-158.5050049
3461,Boone County Airport,Harrison,United States,North America,USA,HRO,KHRO,36.26150131225586,-93.15470123291016
3462,Phoenix Sky Harbor International Airport,Phoenix,United States,North America,USA,PHX,KPHX,33.43429946899414,-112.01200103759766
3463,Bangor International Airport,Bangor,United States,North America,USA,BGR,KBGR,44.80739974975586,-68.8281021118164
3465,East Texas Regional Airport,Longview,United States,North America,USA,GGG,KGGG,32.38399887084961,-94.71150207519531
3467,Spokane International Airport,Spokane,United States,North America,USA,GEG,KGEG,47.61989974975586,-117.53399658203125
3469,San Francisco International Airport,San Francisco,United States,North America,USA,SFO,KSFO,37.61899948120117,-122.375
3472,Gainesville Regional Airport,Gainesville,United States,North America,USA,GNV,KGNV,29.6900997162,-82.2717971802
3473,Memphis International Airport,Memphis,United States,North America,USA,MEM,KMEM,35.04240036010742,-89.97669982910156
3484,Los Angeles International Airport,Los Angeles,United States,North America,USA,LAX,KLAX,33.94250107,-118.4079971
3486,Cleveland Hopkins International Airport,Cleveland,United States,North America,USA,CLE,KCLE,41.4117012024,-81.8498001099
3488,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,North America,USA,CVG,KCVG,39.0488014221,-84.6678009033
3491,Huron Regional Airport,Huron,United States,North America,USA,HON,KHON,44.38520050048828,-98.22850036621094
3492,Juneau International Airport,Juneau,United States,North America,USA,JNU,PAJN,58.35499954223633,-134.5760040283203
3493,Lafayette Regional Airport,Lafayette,United States,North America,USA,LFT,KLFT,30.20529938,-91.98760223
3494,Newark Liberty International Airport,Newark,United States,North America,USA,EWR,KEWR,40.692501068115234,-74.168701171875
3495,Boise Air Terminal/Gowen Field,Boise,United States,North America,USA,BOI,KBOI,43.5644,-116.223
3497,Garden City Regional Airport,Garden City,United States,North America,USA,GCK,KGCK,37.9275016785,-100.723999023
3498,Minot International Airport,Minot,United States,North America,USA,MOT,KMOT,48.2593994140625,-101.27999877929688
3502,Dallas Love Field,Dallas,United States,North America,USA,DAL,KDAL,32.847099,-96.851799
3504,Helena Regional Airport,Helena,United States,North America,USA,HLN,KHLN,46.6068000793457,-111.98300170898438
3513,Lake Charles Regional Airport,Lake Charles,United States,North America,USA,LCH,KLCH,30.126100540161133,-93.22329711914062
3514,Ellison Onizuka Kona International At Keahole Airport,Kona,United States,North America,USA,KOA,PHKO,19.738783,-156.045603
3515,Myrtle Beach International Airport,Myrtle Beach,United States,North America,USA,MYR,KMYR,33.6796989441,-78.9282989502
3517,Nantucket Memorial Airport,Nantucket,United States,North America,USA,ACK,KACK,41.25310135,-70.06020355
3520,Ronald Reagan Washington National Airport,Washington,United States,North America,USA,DCA,KDCA,38.8521,-77.037697
3524,Atlantic City International Airport,Atlantic City,United States,North America,USA,ACY,KACY,39.45759963989258,-74.57720184326172
3527,Pueblo Memorial Airport,Pueblo,United States,North America,USA,PUB,KPUB,38.289100646972656,-104.49700164794922
3528,Northern Maine Regional Airport at Presque Isle,Presque Isle,United States,North America,USA,PQI,KPQI,46.68899918,-68.0447998
3531,Kodiak Airport,Kodiak,United States,North America,USA,ADQ,PADQ,57.75,-152.4940033
3533,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,North America,USA,FLL,KFLL,26.072599,-80.152702
3535,Falls International Airport,International Falls,United States,North America,USA,INL,KINL,48.566200256347656,-93.4030990600586
3536,Salt Lake City International Airport,Salt Lake City,United States,North America,USA,SLC,KSLC,40.78839874267578,-111.97799682617188
3542,Harrisburg International Airport,Harrisburg,United States,North America,USA,MDT,KMDT,40.1935005188,-76.7633972168
3543,Lincoln Airport,Lincoln,United States,North America,USA,LNK,KLNK,40.85100173950195,-96.75920104980469
3544,Capital City Airport,Lansing,United States,North America,USA,LAN,KLAN,42.77870178222656,-84.58740234375
3545,Waimea Kohala Airport,Kamuela,United States,North America,USA,MUE,PHMU,20.001300811767575,-155.66799926757812
3546,Massena International Richards Field,Massena,United States,North America,USA,MSS,KMSS,44.93579864501953,-74.84559631347656
3550,George Bush Intercontinental Houston Airport,Houston,United States,North America,USA,IAH,KIAH,29.984399795532227,-95.34140014648438
3558,Meadows Field,Bakersfield,United States,North America,USA,BFL,KBFL,35.43360138,-119.0569992
3559,El Paso International Airport,El Paso,United States,North America,USA,ELP,KELP,31.80719948,-106.3779984
3560,Valley International Airport,Harlingen,United States,North America,USA,HRL,KHRL,26.228500366210938,-97.65440368652344
3561,Columbia Metropolitan Airport,Columbia,United States,North America,USA,CAE,KCAE,33.93880081176758,-81.11949920654297
3564,Pensacola Regional Airport,Pensacola,United States,North America,USA,PNS,KPNS,30.473400115967,-87.186599731445
3566,William P Hobby Airport,Houston,United States,North America,USA,HOU,KHOU,29.64539909,-95.27890015
3570,Pittsburgh International Airport,Pittsburgh,United States,North America,USA,PIT,KPIT,40.49150085,-80.23290253
3571,Wiley Post Will Rogers Memorial Airport,Barrow,United States,North America,USA,BRW,PABR,71.285402,-156.766008
3576,Miami International Airport,Miami,United States,North America,USA,MIA,KMIA,25.79319953918457,-80.29060363769531
3577,Seattle Tacoma International Airport,Seattle,United States,North America,USA,SEA,KSEA,47.449001,-122.308998
